Category               	Name                                 	Used?	Layout Model and required schematic element	FOM	DNM	PWBM	PWDEM	NWM	HVTPM	LVTNM	NCM	TUNM	ONOM	LVOM	RPM	P1M	HVNTM	NTM	LDNTM	NPC	NSDM	PSDM	LICM1	LI1M	CAPM	MM1	MM2	MM3	MM5	CU1M	INDM	Drawn Route / Comments
RESISTOR               	n diff resistor                      	res r	mrdn                                       	C	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
RESISTOR               	HV n diff resistor                   	res r	mrdn_hv                                    	C	+	-	-	-	-	-	-	-	-	C	+	-	C	C	-	-	C	-	+	+	+	+	+	+	+	+	+
RESISTOR               	p diff resistor                      	res r	mrdp                                       	C	+	-	-	C	C	-	C	-	-	-	+	-	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
RESISTOR               	p diff resistor NV                   	res r	mrdp                                       	C	+	-	-	C	C	-	C	-	-	-	+	-	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
RESISTOR               	HV p diff resistor                   	res r	mrdp_hv                                    	C	+	-	-	C	-	-	-	-	-	C	+	-	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
RESISTOR               	Isolated Pwell resistor              	respw	xpwres                                     	C	C	-	-	-	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
RESISTOR               	n+ poly resistor                     	res  	mrp1                                       	-	+	-	-	+	-	-	-	+	+	+	-	C	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+
RESISTOR               	p+ poly resistor                     	res3 	xhrpoly_*_*                                	-	+	-	-	+	-	-	+	+	+	+	C	C	-	C	-	C	-	C	+	+	+	+	+	+	+	+	+
RESISTOR               	li resistor                          	res  	mrl1                                       	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	C	+	+	+	+	+	+	+
RESISTOR               	metal fuse_D                         	mrmX 	mrmX                                       	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	+	+	+	-	-	+	+	+	C	+	+	+	metX AND metX.fe
RESISTOR               	metal fuse_T                         	mrmX 	mrmX                                       	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	+	+	+	-	-	+	+	C	+	+	+	+	metX AND metX.fe
32 A CMOS              	nmos 1.8V                            	nfet 	nshort                                     	C	+	-	-	-	-	-	-	-	-	-	-	C	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	pmos 1.8V                            	pfet 	pshort                                     	C	+	-	-	C	C	-	C	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	pmos 1.8V NV                         	pfet 	pshort                                     	C	+	-	-	C	C	-	C	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	Low Vt pmos 1.8V 32A                 	pfet 	plowvt                                     	C	+	-	-	C	-	C	-	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	High Vt pmos 1.8V 32A                	pfet 	phighvt                                    	C	+	-	-	C	C	C	C	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	High Vt pmos 1.8V 32A NV             	pfet 	phighvt                                    	C	+	-	-	C	C	C	C	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	Low Vt nmos 1.8V 32A                 	nfet 	nlowvt                                     	C	+	-	-	-	-	C	-	-	-	-	-	C	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	nmos_core                            	nfet 	npass npd                                  	C	+	-	-	-	-	-	-	-	-	-	-	C	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	nmos_core NV                         	nfet 	npassll npdll                              	C	+	-	-	-	-	-	C	-	-	-	-	C	-	-	C	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	pmos_core                            	pfet 	ppu                                        	C	+	-	-	C	C	C	C	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	pmos_core NV                         	pfet 	ppull                                      	C	+	-	-	C	C	C	-	-	-	-	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
32 A CMOS              	Low Vt nmos_core                     	     	                                           	C	+	-	-	-	-	C	-	-	-	-	-	C	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	Low Vt Varactor                      	capbn	xcnwvc                                     	C	+	-	-	C	-	C	-	-	-	-	-	C	-	C	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	High Vt Varactor                     	capbn	xcnwvc2                                    	C	+	-	-	C	C	C	C	-	-	-	-	C	-	C	-	-	C	-	+	+	+	+	+	+	+	+	+
32 A CMOS              	HV varactor (floating gate)          	     	                                           	C	C	-	-	C	-	C	-	-	-	C	-	C	C	C	-	-	C	-	-	+	+	+	+	+	+	+	+
SONOS (& SONOS Latch)	SONOS fet                            	nfet 	sonos_p/e                                  	C	C	-	-	-	-	C	-	C	C	C	-	C	-	C	C	-	C	-	+	+	+	+	+	+	+	+	+
SONOS (& SONOS Latch)	NV SONOS fet                         	nfet 	nvssonos_p/e                               	C	+	-	-	-	-	C	-	C	C	C	-	C	-	C	C	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	HV nmos 5/10.5V                      	nfet 	nhv                                        	C	+	-	-	-	-	-	-	-	-	C	-	C	C	C	-	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	HV pmos 5/10.5 V                     	pfet 	phv                                        	C	+	-	-	C	-	-	-	-	-	C	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
110A CMOS              	Native nmos 5V                       	nfet 	nhvnative                                  	C	+	-	-	-	-	C	-	-	-	C	-	C	C	C	-	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	Native nmos 3V                       	nfet 	ntvnative                                  	C	+	-	-	-	-	C	-	-	-	C	-	C	C	C	-	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	Flash npass                          	nfet 	fnpass                                     	C	+	-	-	-	-	-	-	-	-	C	-	C	-	C	C	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	Flash npass NV                       	nfet 	nvsrnpass                                  	C	+	-	-	-	-	-	-	-	-	C	-	C	-	C	C	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	VHV nmos 5/16V DE                    	nfet 	nvhv                                       	C	-	-	-	C	-	-	-	-	-	C	-	C	C	C	-	-	C	-	+	+	+	+	+	+	+	+	+
110A CMOS              	VHV pmos 5/16V DE                    	pfet 	pvhv                                       	C	C	-	-	C	-	-	-	-	-	C	-	C	-	C	-	-	-	C	+	+	+	+	+	+	+	+	+
110A CMOS              	UHV nmos 5/20V DE                    	nfete	                                           	C	C	C	-	C	-	C	-	-	-	C	-	C	-	-	-	-	C	-	+	+	+	+	+	+	+	+	+
