Name,Description,Flags,Value,Unit
(ncm.X.2),Ncm overlapping areaid:ce is checked for core rules only,,,
(ncm.X.3),Ncm overlapping core cannot overlap N+diff in periphery,TC,,
(ncm.1),Width of ncm,,0.380,µm
(ncm.2a),Spacing of ncm to ncm,,0.380,µm
(ncm.2b),Manual merge ncm if space is below minimum,,,
(ncm.3),Min enclosure of P+diff by Ncm,P,0.180,µm
(ncm.4),Min enclosure of P+diff within (areaid:ed AndNot areaid:de) by Ncm,P,0.180,µm
(ncm.5),"Min space, no overlap, between ncm and (LVTN_gate) OR (diff containing lvtn)",P,0.230,µm
(ncm.6),"Min space, no overlap, between ncm and nfet",P,0.200,µm
(ncm.7),Min area of ncm,,0.265,µm²
(ncm.8),Min area of ncm Holes,,0.265,µm²
